name,folder,driveId,url,reason
"5A Lancaster House - EICR.pdf","Certificates/EICR - All Properties","1nZ4r6XuD9IYY8TstvAPuq56aMX6f6DwC","https://drive.google.com/file/d/1nZ4r6XuD9IYY8TstvAPuq56aMX6f6DwC/view","5A Lancaster House not in Zoho property list"
"3A Lancaster House - EICR.pdf","Certificates/EICR - All Properties","1j-_UBXguhH3CyNas_k7MQYRNpDdc-EyT","https://drive.google.com/file/d/1j-_UBXguhH3CyNas_k7MQYRNpDdc-EyT/view","3A Lancaster House not in Zoho property list"
"32C Lancaster House - EICR.pdf","Certificates/EICR - All Properties","13E4isqGs-jyhjyQk4w7ARbw702yAoCF6","https://drive.google.com/file/d/13E4isqGs-jyhjyQk4w7ARbw702yAoCF6/view","32C Lancaster House not in Zoho property list"
"4A Lancaster House - EICR.pdf","Certificates/EICR - All Properties","1ritpSm36vsUUFkrYMUFmwhviPE3aunZX","https://drive.google.com/file/d/1ritpSm36vsUUFkrYMUFmwhviPE3aunZX/view","4A Lancaster House not in Zoho property list"
"32c Lancaster - EPC.pdf","Certificates/EPC - All Properties","1TBxULFVhzIer0JRgMFxL99ByD9YL5YV-","https://drive.google.com/file/d/1TBxULFVhzIer0JRgMFxL99ByD9YL5YV-/view","32C Lancaster House not in Zoho property list"
"5a Lancaster - EPC.pdf","Certificates/EPC - All Properties","1eahcfFtCrtz_dzIvOVAo_u9CH7acNNac","https://drive.google.com/file/d/1eahcfFtCrtz_dzIvOVAo_u9CH7acNNac/view","5A Lancaster House not in Zoho property list"
"4a Lancaster - EPC.pdf","Certificates/EPC - All Properties","1Ouh8ypHcWFHnGjGcsLLur4oSyvTymP81","https://drive.google.com/file/d/1Ouh8ypHcWFHnGjGcsLLur4oSyvTymP81/view","4A Lancaster House not in Zoho property list"
"3a Lancaster - EPC.pdf","Certificates/EPC - All Properties","1QlpSYRDxzHJdJgfOoiVc-P42HjvsKCFw","https://drive.google.com/file/d/1QlpSYRDxzHJdJgfOoiVc-P42HjvsKCFw/view","3A Lancaster House not in Zoho property list"
"Landlord Licence - 31 Mar 2030.PDF","Certificates/Landlord Licences - All Properties","1UnI5tIaltvea8CDVi-jwiL4yxtOZhEPd","https://drive.google.com/file/d/1UnI5tIaltvea8CDVi-jwiL4yxtOZhEPd/view","no address in name; the earlier CSV put it under Flat 1, 35 Lord Street, but it is byte-for-byte the same size as the 39 Palatine Road 'Propose to licence' notice, so not confident"
"8 Karren Terrace License.pdf","Certificates folder/Damian Murray/8 Karen Terrace/Landlord License","1IHRSIJGWN_GyZtqkUdVWVjl2kRdRy2OO","https://drive.google.com/file/d/1IHRSIJGWN_GyZtqkUdVWVjl2kRdRy2OO/view","8 Karen Terrace is not in the Zoho property list"
"Gas cert for 8 Karen Terrace, E11, 2026.pdf","Certificates folder/Damian Murray/8 Karen Terrace","1somlpehum-4R7YBumhzehi-TgjXhPing","https://drive.google.com/file/d/1somlpehum-4R7YBumhzehi-TgjXhPing/view","8 Karen Terrace is not in the Zoho property list"
